,ts_code,trade_date,close,open,high,low,pre_close,change,pct_chg,vol,amount,look_back_0_open,look_back_0_close,look_back_0_high,look_back_0_low,look_back_1_open,look_back_1_close,look_back_1_high,look_back_1_low,look_back_2_open,look_back_2_close,look_back_2_high,look_back_2_low,look_back_3_open,look_back_3_close,look_back_3_high,look_back_3_low,look_back_4_open,look_back_4_close,look_back_4_high,look_back_4_low
3606,000001.SH,20070312,2954.914,2945.923,2958.632,2904.744,2937.91,17.004,0.5788,101542444.0,85496576.412,2.2061587363991104,2.223636264140592,2.230863652433643,2.126111231687018,2.18394005748852,2.190582334464678,2.2382290570173895,2.100976715649052,2.125024596384216,2.1713475288811,2.1728793153186805,2.0614185252876767,2.023090818194053,2.110268516628285,2.1390808752295785,2.019010590107148,1.876171504802761,2.000596106702071,2.0514424745292206,1.8388371262238623
3605,000001.SH,20070313,2964.794,2958.096,2966.194,2932.234,2954.914,9.88,0.3344,107189316.0,88657286.53,2.206419322628873,2.219348488416461,2.222050911841756,2.156497840753892,2.1829217509459347,2.200277100243668,2.2074539647402713,2.1034338264957837,2.16085839398085,2.167454237441016,2.214767880710587,2.07847501586074,2.102354787428112,2.148353894731522,2.1498749730594735,2.0391933610716344,2.001133587731251,2.0877018615556753,2.11631280441976,1.9970818828957562
3604,000001.SH,20070314,2906.334,2933.679,2934.454,2868.807,2964.794,-58.46,-1.9718,113730739.0,93829876.757,2.1391184338740588,2.0866483633984325,2.1406055176048544,2.014640890926726,2.185970206073852,2.1988224471433613,2.2015087919473797,2.136345742272768,2.1626124380029137,2.1798645280978626,2.186998692370248,2.083597443228155,2.1406803514958233,2.1472369516353442,2.1942690927005506,2.05878713014533,2.0825248241242647,2.1282502503240877,2.1297622786852064,2.0197391896012094
3603,000001.SH,20070315,2951.698,2905.976,2955.462,2905.976,2906.334,45.364,1.5609,101745754.0,86641125.812,2.0650422949392215,2.1522111519518026,2.159387206756828,2.0650422949392215,2.117857982044325,2.065724820874449,2.1193355172393025,1.994179706988111,2.1644089199227246,2.1771786370013797,2.1798477328374677,2.1151030938420767,2.1412011316279393,2.1583424463867025,2.165430802328541,2.062693490603464,2.1194098706233073,2.1259243709603877,2.1726545195592104,2.038042484060165
3602,000001.SH,20070316,2930.481,2964.094,2979.708,2899.032,2951.698,-21.217,-0.7188,122681308.0,104617575.822,2.1556162711617075,2.0919142643883974,2.185207296472108,2.0323133834490625,2.045473373186184,2.132123870127525,2.1392572516612995,2.045473373186184,2.0979749854683676,2.0461518403990135,2.099443734322957,1.9750321781200728,2.144249102607091,2.1569428830303687,2.159596106767692,2.0952364795394876,2.121179322211068,2.138218704084119,2.145264908266524,2.04313853629734
3601,000001.SH,20070319,3014.442,2864.256,3037.999,2852.858,2930.481,83.961,2.8651,109971752.0,94819910.156,1.9449915586519215,2.227637797302587,2.2719714731704688,1.923540812056765,2.1328841396808134,2.0696253271432616,2.1622692912281716,2.010439107659922,2.0235075393459,2.1095551824257184,2.116638934854581,2.0235075393459,2.0756438819433414,2.024181286255977,2.0771024122654373,1.9535564250981892,2.1215960559750973,2.1342015219072223,2.1368362863600403,2.072924428633111
3600,000001.SH,20070320,3032.195,3024.781,3033.02,2998.804,3014.442,17.753,0.5889,92761890.0,81627441.324,2.22360161240616,2.237456763675459,2.238998508994743,2.175056257061869,1.9236153489175984,2.2042802731866726,2.248303175594397,1.9023149693428125,2.1101908267196294,2.047375450456487,2.139369992071509,1.9886041188853811,2.001580942518239,2.0870254025040604,2.094059498724406,2.001580942518239,2.053351815948693,2.002249966547698,2.0548001221577175,1.9321201767334304
3599,000001.SH,20070321,3057.38,3042.098,3057.71,3020.949,3032.195,25.185,0.8306,99190127.0,89306939.186,2.23200381072502,2.260357902042658,2.2609701812034233,2.1927641380855283,2.1998739979159945,2.2136298697278627,2.2151605676297765,2.1516764956153622,1.9020372940314405,2.180691106270068,2.224398561391752,1.8808895428968755,2.087275860251195,2.0249105892487256,2.116245941512391,1.9665603852277609,1.9794442230833866,2.0642764285031623,2.0712601217186832,1.9794442230833866
3598,000001.SH,20070322,3071.225,3080.602,3099.819,3059.381,3057.38,13.845,0.4528,126065545.0,112647268.966,2.2791944795608257,2.261920921340386,2.3145944975113633,2.240102853348183,2.208265495267362,2.236416771445752,2.237024671009871,2.169306501686891,2.1763655051102377,2.190022981984115,2.191542730894412,2.1285127566947146,1.8806592095641057,2.1573198275543963,2.2007146458330458,1.8596627270434096,2.0645727752687297,2.002653599363468,2.0933356352510213,1.944720770902915
3597,000001.SH,20070323,3074.286,3071.808,3085.324,3008.154,3071.225,3.061,0.0997,118686417.0,104609177.836,2.2394956345319925,2.244028508170525,2.264219734652415,2.123056756974625,2.2555820311329833,2.2384291836315624,2.290734667416955,2.2167635842067117,2.1851487112871157,2.2131032613048944,2.2137069127579676,2.1464619701324237,2.1534716439753843,2.1670336799544327,2.168542808587116,2.1059532991375467,1.859831796991748,2.1345590610259135,2.177650628541213,1.8389820416519602
